Disease,Sym
Dimorphic hemmorhoids(piles), bloody_stool pain_during_bowel_movements
Heart attack, sweating
Varicose veins, cramps swollen_legs bruising fatigue
Hypothyroidism, fatigue mood_swings depression cold_hands_and_feets puffy_face_and_eyes enlarged_thyroid weight_gain lethargy abnormal_menstruation irritability
Hyperthyroidism, sweating excessive_hunger fast_heart_rate muscle_weakness weight_loss mood_swings diarrhoea restlessness
Hypoglycemia, excessive_hunger irritability headache drying_and_tingling_lips blurred_and_distorted_vision nausea slurred_speech anxiety vomiting
Osteoarthristis, hip_joint_pain neck_pain swelling_joints
Arthritis, stiff_neck swelling_joints
(vertigo) Paroymsal  Positional Vertigo, spinning_movements vomiting nausea
Acne, blackheads
Urinary tract infection, continuous_feel_of_urine
Psoriasis, skin_peeling silver_like_dusting skin_rash
Impetigo, high_fever yellow_crust_ooze
Fungal infection, skin_rash
Allergy, watering_from_eyes
GERD, cough stomach_pain acidity
Chronic cholestasis, itching yellowing_of_eyes nausea abdominal_pain
Drug Reaction, itching skin_rash
Peptic ulcer diseae, indigestion loss_of_appetite vomiting
AIDS, patches_in_throat
Diabetes , restlessness polyuria weight_loss irregular_sugar_level fatigue obesity lethargy
Gastroenteritis, dehydration
Bronchial Asthma, breathlessness mucoid_sputum fatigue
Hypertension , dizziness loss_of_balance
Migraine, stiff_neck blurred_and_distorted_vision acidity indigestion irritability headache
Cervical spondylosis, back_pain weakness_in_limbs
Paralysis (brain hemorrhage), altered_sensorium
Jaundice, abdominal_pain itching high_fever vomiting yellowish_skin
Malaria, sweating vomiting high_fever nausea muscle_pain
Chicken pox, high_fever red_spots_over_body swelled_lymph_nodes itching skin_rash headache loss_of_appetite mild_fever
Dengue, nausea joint_pain skin_rash back_pain loss_of_appetite high_fever muscle_pain malaise red_spots_over_body vomiting chills
Typhoid, vomiting fatigue nausea headache abdominal_pain chills toxic_look_(typhos) constipation
hepatitis A, nausea muscle_pain joint_pain dark_urine vomiting diarrhoea mild_fever yellowish_skin
Hepatitis B, dark_urine malaise fatigue yellowish_skin receiving_unsterile_injections receiving_blood_transfusion abdominal_pain yellow_urine yellowing_of_eyes
Hepatitis C, yellowing_of_eyes nausea loss_of_appetite
Hepatitis D, fatigue joint_pain dark_urine abdominal_pain yellowish_skin yellowing_of_eyes
Hepatitis E, high_fever yellowish_skin joint_pain acute_liver_failure stomach_bleeding nausea fatigue coma dark_urine loss_of_appetite
Alcoholic hepatitis, fluid_overload distention_of_abdomen history_of_alcohol_consumption vomiting
Tuberculosis, sweating phlegm swelled_lymph_nodes cough chills fatigue high_fever malaise blood_in_sputum vomiting breathlessness loss_of_appetite mild_fever
Common Cold, continuous_sneezing headache high_fever runny_nose congestion throat_irritation malaise loss_of_smell muscle_pain fatigue phlegm swelled_lymph_nodes chills redness_of_eyes
Pneumonia, phlegm fatigue chills sweating cough chest_pain fast_heart_rate breathlessness
Dimorphic hemmorhoids(piles), constipation bloody_stool
Heart attack, sweating
Varicose veins, obesity cramps swollen_legs fatigue
Hypothyroidism, dizziness depression weight_gain puffy_face_and_eyes irritability mood_swings lethargy swollen_extremeties cold_hands_and_feets brittle_nails
Hyperthyroidism, irritability diarrhoea fast_heart_rate abnormal_menstruation fatigue mood_swings muscle_weakness sweating
Hypoglycemia, irritability fatigue palpitations headache sweating vomiting excessive_hunger nausea slurred_speech
Osteoarthristis, joint_pain neck_pain swelling_joints
Arthritis, painful_walking muscle_weakness
(vertigo) Paroymsal  Positional Vertigo, loss_of_balance nausea spinning_movements
Acne, skin_rash
Urinary tract infection, foul_smell_ofurine
Psoriasis, inflammatory_nails joint_pain skin_rash
Impetigo, yellow_crust_ooze blister
Fungal infection, skin_rash
Allergy, continuous_sneezing
GERD, cough stomach_pain vomiting
Chronic cholestasis, abdominal_pain itching yellowish_skin yellowing_of_eyes
Drug Reaction, stomach_pain burning_micturition
Peptic ulcer diseae, loss_of_appetite indigestion passage_of_gases
AIDS, patches_in_throat
Diabetes , obesity excessive_hunger blurred_and_distorted_vision irregular_sugar_level restlessness increased_appetite fatigue
Gastroenteritis, dehydration
Bronchial Asthma, fatigue mucoid_sputum family_history
Hypertension , loss_of_balance headache
Migraine, acidity visual_disturbances indigestion depression headache irritability
Cervical spondylosis, neck_pain weakness_in_limbs
Paralysis (brain hemorrhage), vomiting
Jaundice, yellowish_skin high_fever vomiting weight_loss itching
Malaria, chills high_fever nausea sweating vomiting
Chicken pox, skin_rash headache lethargy malaise fatigue itching red_spots_over_body swelled_lymph_nodes
Dengue, skin_rash malaise pain_behind_the_eyes fatigue headache vomiting muscle_pain red_spots_over_body chills loss_of_appetite high_fever
Typhoid, nausea vomiting high_fever belly_pain toxic_look_(typhos) diarrhoea abdominal_pain headache
hepatitis A, loss_of_appetite abdominal_pain nausea muscle_pain yellowing_of_eyes vomiting joint_pain mild_fever
Hepatitis B, abdominal_pain malaise itching yellowing_of_eyes dark_urine yellowish_skin fatigue receiving_unsterile_injections loss_of_appetite
Hepatitis C, fatigue loss_of_appetite family_history
Hepatitis D, yellowing_of_eyes joint_pain nausea vomiting abdominal_pain fatigue
Hepatitis E, yellowish_skin stomach_bleeding vomiting dark_urine joint_pain yellowing_of_eyes loss_of_appetite coma high_fever nausea
Alcoholic hepatitis, vomiting distention_of_abdomen history_of_alcohol_consumption swelling_of_stomach
Tuberculosis, cough yellowing_of_eyes sweating weight_loss blood_in_sputum high_fever fatigue chills chest_pain vomiting breathlessness swelled_lymph_nodes malaise
Common Cold, congestion redness_of_eyes chest_pain muscle_pain continuous_sneezing cough malaise swelled_lymph_nodes runny_nose loss_of_smell high_fever chills sinus_pressure headache
Pneumonia, fatigue sweating chills high_fever cough rusty_sputum malaise breathlessness
Dimorphic hemmorhoids(piles), pain_during_bowel_movements pain_in_anal_region
Heart attack, breathlessness
Varicose veins, obesity swollen_blood_vessels fatigue prominent_veins_on_calf
Hypothyroidism, brittle_nails puffy_face_and_eyes weight_gain abnormal_menstruation enlarged_thyroid dizziness depression cold_hands_and_feets swollen_extremeties lethargy
Hyperthyroidism, diarrhoea mood_swings fatigue sweating fast_heart_rate muscle_weakness abnormal_menstruation weight_loss
Hypoglycemia, drying_and_tingling_lips vomiting excessive_hunger nausea fatigue blurred_and_distorted_vision irritability anxiety slurred_speech
Osteoarthristis, neck_pain joint_pain painful_walking
Arthritis, swelling_joints painful_walking
(vertigo) Paroymsal  Positional Vertigo, spinning_movements unsteadiness loss_of_balance
Acne, pus_filled_pimples
Urinary tract infection, foul_smell_ofurine
Psoriasis, skin_rash inflammatory_nails silver_like_dusting
Impetigo, skin_rash high_fever
Fungal infection, skin_rash
Allergy, continuous_sneezing
GERD, cough chest_pain vomiting
Chronic cholestasis, abdominal_pain itching yellowing_of_eyes loss_of_appetite
Drug Reaction, itching stomach_pain
Peptic ulcer diseae, abdominal_pain indigestion internal_itching
AIDS, patches_in_throat
Diabetes , obesity weight_loss blurred_and_distorted_vision increased_appetite lethargy restlessness excessive_hunger
Gastroenteritis, sunken_eyes
Bronchial Asthma, family_history high_fever mucoid_sputum
Hypertension , dizziness lack_of_concentration
Migraine, depression irritability blurred_and_distorted_vision stiff_neck acidity headache
Cervical spondylosis, neck_pain dizziness
Paralysis (brain hemorrhage), weakness_of_one_body_side
Jaundice, high_fever yellowish_skin abdominal_pain itching dark_urine
Malaria, headache high_fever nausea sweating chills
Chicken pox, red_spots_over_body loss_of_appetite malaise headache fatigue high_fever itching mild_fever
Dengue, vomiting nausea muscle_pain joint_pain headache red_spots_over_body back_pain skin_rash fatigue chills malaise
Typhoid, high_fever fatigue diarrhoea belly_pain vomiting toxic_look_(typhos) chills abdominal_pain
hepatitis A, mild_fever abdominal_pain yellowish_skin muscle_pain vomiting yellowing_of_eyes loss_of_appetite joint_pain
Hepatitis B, yellow_urine dark_urine yellowing_of_eyes fatigue yellowish_skin receiving_unsterile_injections abdominal_pain receiving_blood_transfusion itching
Hepatitis C, family_history yellowish_skin loss_of_appetite
Hepatitis D, vomiting abdominal_pain nausea joint_pain loss_of_appetite yellowish_skin
Hepatitis E, high_fever abdominal_pain yellowing_of_eyes stomach_bleeding joint_pain acute_liver_failure fatigue vomiting dark_urine yellowish_skin
Alcoholic hepatitis, fluid_overload yellowish_skin history_of_alcohol_consumption swelling_of_stomach
Tuberculosis, chest_pain phlegm loss_of_appetite malaise swelled_lymph_nodes mild_fever breathlessness chills vomiting weight_loss high_fever yellowing_of_eyes cough
Common Cold, muscle_pain chest_pain cough phlegm swelled_lymph_nodes high_fever throat_irritation chills headache runny_nose fatigue redness_of_eyes loss_of_smell malaise
Pneumonia, cough chills fast_heart_rate malaise fatigue phlegm chest_pain high_fever
Dimorphic hemmorhoids(piles), constipation pain_during_bowel_movements
Heart attack, chest_pain
Varicose veins, cramps fatigue swollen_blood_vessels obesity
Hypothyroidism, abnormal_menstruation lethargy dizziness cold_hands_and_feets depression mood_swings swollen_extremeties fatigue enlarged_thyroid puffy_face_and_eyes
Hyperthyroidism, weight_loss fast_heart_rate diarrhoea abnormal_menstruation mood_swings irritability restlessness muscle_weakness
Hypoglycemia, blurred_and_distorted_vision drying_and_tingling_lips nausea irritability sweating excessive_hunger anxiety vomiting fatigue
Osteoarthristis, knee_pain joint_pain painful_walking
Arthritis, muscle_weakness painful_walking
(vertigo) Paroymsal  Positional Vertigo, loss_of_balance spinning_movements unsteadiness
Acne, pus_filled_pimples
Urinary tract infection, foul_smell_ofurine
Psoriasis, silver_like_dusting skin_peeling skin_rash
Impetigo, red_sore_around_nose blister
Fungal infection, dischromic_patches
Allergy, shivering
GERD, stomach_pain cough acidity
Chronic cholestasis, yellowish_skin yellowing_of_eyes abdominal_pain vomiting
Drug Reaction, spotting_urination stomach_pain
Peptic ulcer diseae, indigestion loss_of_appetite internal_itching
AIDS, patches_in_throat
Diabetes , increased_appetite blurred_and_distorted_vision weight_loss restlessness lethargy fatigue polyuria
Gastroenteritis, vomiting
Bronchial Asthma, breathlessness fatigue family_history
Hypertension , headache dizziness
Migraine, indigestion blurred_and_distorted_vision headache stiff_neck acidity excessive_hunger
Cervical spondylosis, dizziness loss_of_balance
Paralysis (brain hemorrhage), vomiting
Jaundice, fatigue weight_loss abdominal_pain dark_urine yellowish_skin
Malaria, sweating high_fever nausea vomiting headache
Chicken pox, loss_of_appetite malaise headache fatigue lethargy red_spots_over_body skin_rash mild_fever
Dengue, headache chills pain_behind_the_eyes nausea joint_pain back_pain loss_of_appetite fatigue malaise high_fever skin_rash
Typhoid, belly_pain abdominal_pain vomiting fatigue headache chills nausea constipation
hepatitis A, mild_fever nausea yellowish_skin joint_pain diarrhoea dark_urine yellowing_of_eyes vomiting
Hepatitis B, loss_of_appetite yellow_urine yellowish_skin malaise fatigue receiving_blood_transfusion dark_urine itching abdominal_pain
Hepatitis C, nausea loss_of_appetite yellowish_skin
Hepatitis D, yellowish_skin vomiting yellowing_of_eyes joint_pain nausea abdominal_pain
Hepatitis E, coma high_fever dark_urine loss_of_appetite yellowish_skin joint_pain stomach_bleeding fatigue nausea acute_liver_failure
Alcoholic hepatitis, yellowish_skin vomiting swelling_of_stomach abdominal_pain
Tuberculosis, weight_loss malaise breathlessness swelled_lymph_nodes blood_in_sputum vomiting cough fatigue high_fever phlegm chills sweating yellowing_of_eyes
Common Cold, runny_nose sinus_pressure continuous_sneezing phlegm chest_pain headache swelled_lymph_nodes muscle_pain malaise throat_irritation congestion cough chills fatigue
Pneumonia, cough chills phlegm chest_pain malaise breathlessness rusty_sputum fast_heart_rate
Dimorphic hemmorhoids(piles), irritation_in_anus pain_during_bowel_movements
Heart attack, vomiting
Varicose veins, prominent_veins_on_calf fatigue obesity swollen_blood_vessels
Hypothyroidism, puffy_face_and_eyes irritability weight_gain swollen_extremeties brittle_nails cold_hands_and_feets abnormal_menstruation enlarged_thyroid depression fatigue
Hyperthyroidism, weight_loss sweating mood_swings fatigue muscle_weakness excessive_hunger fast_heart_rate restlessness
